Time (s),Altitude (ft),Smoothed Speed (ft/s),Smoothed Acceleration (ft/s^2),Longitude,Latitude
0,4610,0,,-106.90998,32.94751
0.8341666667,4611,1.198801199,,-106.90998,32.94751
4.838166667,4612,0.2497502498,1.259424336,-106.90998,32.94751
7.841166667,4636,7.992007992,56.66855067,-106.90998,32.94751
8.842166667,4812,175.8241758,160.3801904,-106.90994,32.94753
9.676333333,5175,435.1648352,193.9186355,-106.90979,32.94756
10.67733333,5714,538.4615385,155.1798253,-106.9095,32.94756
11.84516667,6413,598.5443128,135.6645896,-106.90908,32.94756
12.84616667,7265,851.1488511,243.5420601,-106.90854,32.94751
13.68033333,8272,1207.192807,170.6927296,-106.90786,32.94746
14.68133333,9374,1039.925788,105.2652085,-106.90709,32.94735
15.68233333,10483,1096.051481,-53.68847712,-106.90629,32.94728
16.85016667,11572,1037.618782,-1.441335342,-106.90548,32.94717
18.68533333,13649,1018.60922,-32.01219768,-106.90387,32.947
19.68633333,14629,982.930613,-32.33187605,-106.90308,32.94689
20.85416667,15568,923.3779208,-35.85580797,-106.90229,32.94682
21.68833333,16464,905.9185712,-45.4988499,-106.90151,32.94671
22.68933333,17316,841.2819092,-46.07495659,-106.90075,32.94664
23.85716667,18123,779.7108272,-43.54603147,-106.89999,32.94656
25.69233333,19610,755.2232554,-48.26472789,-106.89852,32.94638
26.69333333,20290,676.416348,-47.81798782,-106.8978,32.9463
27.86116667,20930,616.4104199,-50.10250404,-106.89708,32.94623
29.69633333,22091,579.3454441,-46.05778367,-106.89569,32.94607
30.69733333,22614,512.6848319,-37.41886919,-106.895,32.946
32.86616667,23549,457.4543481,-38.63350735,-106.89364,32.94587
34.70133333,24341,413.7021819,-37.97681274,-106.89231,32.94572
35.70233333,24685,349.0136237,-36.89728788,-106.89165,32.94566
37.70433333,25271,304.515265,-42.61525967,-106.89034,32.94551
38.70533333,25513,263.4793778,-34.10908942,-106.88969,32.94546
39.87316667,25723,217.8107607,-42.50521394,-106.88905,32.94538
40.70733333,25899,178.2584762,-40.57866603,-106.88841,32.94531
41.70833333,26043,143.0080124,-39.01839914,-106.88777,32.94525
42.70933333,26155,108.5489649,-32.15167298,-106.88714,32.94518
43.87716667,26233,77.2333418,-33.34927658,-106.88651,32.94513
44.87816667,26279,38.38647438,-27.87797357,-106.88588,32.94505
46.71333333,26280,5.333812755,-26.76067576,-106.88465,32.94492
47.88116667,26234,-22.0673575,-20.79030954,-106.88426,32.94492
48.88216667,26173,-42.98521516,-25.00006763,-106.88385,32.94492
49.71633333,26100,-68.54407188,-23.43054282,-106.88343,32.9449
50.71733333,26020,-87.31750624,-19.95375911,-106.88311,32.94495
51.88516667,25927,-99.54076179,-12.23414113,-106.88288,32.94497
53.72033333,25683,-113.2698898,-7.807501005,-106.88256,32.94508
54.72133333,25552,-118.7501239,-5.12079368,-106.88239,32.9451
56.89016667,25281,-123.9693944,-7.388167611,-106.8821,32.9452
57.72433333,25150,-135.8840104,-6.129214914,-106.88197,32.94523
58.72533333,25024,-137.5836095,-4.739307176,-106.88188,32.94528
59.89316667,24888,-135.5244442,-0.2589787491,-106.88179,32.94536
60.72733333,24752,-136.2270383,-0.1207272519,-106.88165,32.94538
62.72933333,24462,-138.795898,-0.144451925,-106.88157,32.94546
63.89716667,24326,-136.819852,-0.2167301116,-106.88149,32.94556
64.89816667,24196,-137.8800164,1.237502825,-106.88138,32.94559
65.73233333,24050,-135.3111567,0.6427745094,-106.88135,32.94561
67.90116667,23807,-135.5109569,2.365517776,-106.88125,32.94566
68.90216667,23683,-131.3977232,2.764718975,-106.88122,32.94569
69.73633333,23562,-127.8298624,2.949404364,-106.88117,32.94574
70.5705,23440,-127.4445335,1.478250811,-106.88111,32.94574
71.90516667,23323,-127.8507207,1.989133297,-106.88104,32.94574
72.90616667,23218,-122.0351077,4.344420368,-106.881,32.94577
73.5735,23103,-117.0115599,4.060921715,-106.88098,32.94577
74.5745,22988,-118.1675467,2.319084003,-106.8809,32.94577
75.90916667,22877,-117.3877143,1.337374933,-106.88085,32.94577
76.91016667,22767,-112.8004648,7.959837671,-106.8808,32.94582
77.5775,22664,-100.3129524,7.98911582,-106.88077,32.94579
78.74533333,22568,-99.528023,7.164235793,-106.88069,32.94582
79.91316667,22483,-97.06619911,3.873202104,-106.88065,32.94582
80.91416667,22398,-88.21790454,9.744107483,-106.88059,32.94582
81.5815,22325,-76.01582091,8.033245204,-106.88054,32.94582
82.5825,22259,-79.04340557,5.438097958,-106.88051,32.94584
83.91716667,22195,-77.63664907,1.030251392,-106.88045,32.94582
84.91816667,22126,-72.57028686,4.996804116,-106.8804,32.94587
85.5855,22057,-66.64763808,3.077175904,-106.88033,32.94589
86.5865,21994,-71.35721421,0.8197881753,-106.8803,32.94587
87.92116667,21928,-73.64064507,-1.211860781,-106.88027,32.94587
88.92216667,21860,-70.85771371,2.958366024,-106.88022,32.94589
89.5895,21794,-65.64863708,1.960363028,-106.88017,32.94589
90.5905,21730,-70.35821322,0.5168229801,-106.88009,32.94589
91.92516667,21664,-72.42757243,-1.134634359,-106.88004,32.94592
92.92616667,21597,-69.57328386,2.857377625,-106.87997,32.94595
93.5935,21533,-64.72099329,1.924720064,-106.87992,32.94595
94.5945,21469,-69.07378336,0.493061004,-106.87986,32.946
95.92916667,21405,-71.00042814,-0.992062502,-106.8798,32.94602
96.93016667,21340,-68.18181818,2.738567745,-106.87976,32.94607
97.5975,21277,-63.61495647,1.841553147,-106.87969,32.94612
98.5985,21214,-67.7536749,0.261381737,-106.87961,32.94618
99.93316667,21151,-70.32253461,-1.211860781,-106.87953,32.94623
100.9341667,21087,-67.89638932,2.625698359,-106.87948,32.94625
101.6015,21025,-62.97274154,1.627695363,-106.87946,32.94628
102.6025,20959,-67.89638932,0.2940544542,-106.87945,32.9463
103.9371667,20895,-70.00142714,-2.236596,-106.87942,32.94638
104.9381667,20835,-70.21549879,1.541558199,-106.87938,32.94643
105.6055,20770,-65.93406593,2.06729192,-106.87931,32.94646
106.6065,20708,-65.93406593,2.209863777,-106.87926,32.94648
108.6085,20577,-65.50592265,-0.07128592829,-106.87919,32.94656
109.6095,20514,-65.93406593,0.07128592829,-106.87917,32.94659
110.6105,20448,-65.50592265,0,-106.87916,32.94664
111.9451667,20388,-65.50592265,0.9742410199,-106.87912,32.94669
112.9461667,20325,-63.00842015,0.1045526948,-106.87906,32.94671
113.6135,20262,-64.46410732,-0.3516772462,-106.87904,32.94676
114.6145,20200,-65.83416583,-1.717990872,-106.87897,32.94682
115.9491667,20136,-67.97488226,-0.9908744032,-106.87891,32.94684
116.7833333,20075,-67.97488226,2.202735184,-106.87885,32.94689
117.6175,20012,-61.1245897,1.406708985,-106.87876,32.94694
118.6185,19952,-65.12059369,0.7888976064,-106.87865,32.94697
119.6195,19889,-66.97588126,-1.050279343,-106.87858,32.947
120.9541667,19827,-63.37947767,0.3659344319,-106.87849,32.947
121.6215,19767,-63.20822035,0.2423721562,-106.87841,32.94702
122.6225,19706,-65.43456543,-0.6201875761,-106.87833,32.94702
123.9571667,19642,-65.29185101,-1.08456448,-106.87829,32.94702
124.7913333,19580,-66.23988257,1.025498997,-106.87825,32.94702
125.6255,19517,-62.81473628,1.037379985,-106.87821,32.94705
126.6265,19455,-62.67202186,1.276551548,-106.8782,32.94707
127.7943333,19393,-63.16132847,0.2292964565,-106.87817,32.9471
129.6295,19272,-61.39166955,0.2958299896,-106.87811,32.94717
130.6305,19212,-61.04915493,0.6391662973,-106.87806,32.9472
131.7983333,19152,-60.33558278,-0.05567091542,-106.878,32.94723
132.7993333,19090,-61.45691044,0.7590254078,-106.87795,32.94725
133.6335,19029,-59.13270403,-0.07196484189,-106.8779,32.94725
134.6345,18972,-61.01653449,-0.105910522,-106.87789,32.94728
135.6355,18911,-62.23980102,-0.9939295144,-106.87786,32.9473
136.8033333,18853,-62.09708659,0.3861660572,-106.87783,32.94735
137.6375,18792,-60.21325613,0.5083705057,-106.8778,32.94735
138.6385,18732,-61.0695427,0.5626835939,-106.87779,32.9474
139.6395,18671,-60.78411385,-0.6313896505,-106.87778,32.94746
140.6405,18611,-62.10931925,0.3285941837,-106.87774,32.94748
141.6415,18548,-60.08277437,0.1860223271,-106.87771,32.94753
142.6425,18489,-60.2254888,0.5797922167,-106.87767,32.94758
143.6435,18430,-60.36820323,0.510882486,-106.87763,32.94761
144.6445,18371,-58.54859426,0.0736621259,-106.87759,32.94764
145.6455,18310,-60.00428143,-0.6677115283,-106.87754,32.94766
146.6465,18248,-62.37334094,-1.416213775,-106.87753,32.94766
147.9811667,18185,-62.94419866,0.1663338327,-106.87751,32.94769
148.8153333,18124,-60.19694591,-0.2195606591,-106.87752,32.94769
149.6495,18061,-63.13686314,-0.5522283245,-106.87752,32.94774
150.6505,17998,-64.56400742,-2.211408305,-106.8775,32.94779
151.9851667,17945,-66.81175967,0.1072174307,-106.87748,32.94779
152.8193333,17877,-63.94931599,1.472105338,-106.87747,32.94781
153.6535,17817,-61.72297091,1.491708968,-106.87747,32.94787
154.6545,17754,-63.34991539,-0.5177395134,-106.87746,32.94787
155.8223333,17692,-66.38259699,-0.01425718566,-106.87748,32.94789
156.8233333,17632,-62.19902546,1.154832038,-106.87748,32.94792
157.6575,17570,-60.62916675,1.592731312,-106.87749,32.94794
158.6585,17509,-61.91359661,-0.1204586707,-106.8775,32.94797
159.8263333,17448,-63.03492426,-0.3811614941,-106.87751,32.94799
160.8273333,17387,-61.93398438,0.1149885668,-106.87753,32.94804
161.6615,17327,-61.76272707,0.530095741,-106.87754,32.94807
162.6625,17266,-61.47729821,-0.1507576149,-106.87754,32.94812
163.8303333,17205,-62.57823809,0.37553621,-106.87755,32.94815
164.6645,17144,-61.08993048,0.8032517797,-106.87755,32.94815
165.6655,17085,-59.52007176,0.5376995734,-106.87756,32.94817
166.6665,17025,-61.26118779,-0.4120035692,-106.87759,32.9482
167.8343333,16966,-62.5048421,0.09989728726,-106.8776,32.94825
168.8353333,16905,-59.39774511,0.5086032761,-106.87761,32.94828
169.6695,16844,-59.8258884,0.4073481616,-106.87762,32.9483
170.6705,16783,-61.19594691,-0.7481777114,-106.87764,32.94835
171.8383333,16723,-61.61938532,-0.5770914835,-106.87765,32.94835
172.8393333,16661,-61.61938532,0.1528764222,-106.87764,32.9484
173.6735,16603,-60.93435607,0.2956720964,-106.87766,32.94843
175.8423333,16487,-60.79164164,0.3364069126,-106.87767,32.94848
176.8433333,16426,-60.66931499,-0.370749496,-106.87766,32.94848
177.6775,16369,-61.75394464,0.1110702654,-106.87769,32.94851
178.6785,16309,-60.2411717,-0.1928741321,-106.87769,32.94848
179.8463333,16250,-61.16332647,0.6134245521,-106.87773,32.94848
180.6805,16192,-60.23019367,-0.1184443116,-106.87777,32.94851
181.6815,16133,-60.91522292,0.1447652697,-106.87782,32.94851
182.6825,16073,-60.91522292,-0.1717129174,-106.87787,32.94853
184.8513333,15955,-60.54824297,-0.1489014203,-106.87796,32.94861
185.6855,15894,-61.06201491,-0.1489014203,-106.87798,32.94866
186.6865,15834,-61.06201491,-0.1645686573,-106.878,32.94871
187.8543333,15778,-60.91930048,0.2625828919,-106.87803,32.94876
188.6885,15717,-60.36412567,1.127518822,-106.87802,32.94879
189.6895,15658,-57.76672307,0.5735253219,-106.87805,32.94884
190.6905,15599,-59.3080389,-0.05567091542,-106.87803,32.94889
191.8583333,15540,-60.73518318,0.1547923014,-106.87803,32.94892
192.8593333,15485,-57.50575955,0.6680509851,-106.87805,32.94894
193.6935,15426,-57.50575955,0.5146165109,-106.87808,32.94897
194.6945,15368,-59.1897898,-0.9448537597,-106.87813,32.94899
195.8623333,15309,-60.53538298,-0.7343905428,-106.87819,32.94904
196.8633333,15250,-59.90336194,0.5563599987,-106.87825,32.94907
197.6975,15191,-58.07661726,0.2750957918,-106.87833,32.94915
198.6985,15131,-60.07461926,-0.2379689165,-106.87842,32.9492
199.8663333,15072,-61.13478358,-0.6081126127,-106.87849,32.94927
200.8673333,15014,-60.05423148,0.9012481088,-106.87857,32.94935
201.7015,14954,-57.94205794,1.372102102,-106.87863,32.94943
202.7025,14896,-57.43679568,1.51418902,-106.87871,32.9495
203.8703333,14836,-55.67835004,0.9077833902,-106.87875,32.94961
204.8713333,14780,-54.9647779,0.7328893426,-106.87879,32.94968
258.5916667,11750,-56.03513612,0.6790611926,-106.88352,32.95299
259.9263333,11699,-54.24101187,0.6451155125,-106.88361,32.95306
260.9273333,11646,-53.62937861,-1.023462256,-106.88368,32.95314
261.5946667,11593,-56.98316768,-1.330617951,-106.88374,32.95322
262.7625,11540,-56.48942894,-2.175865386,-106.88379,32.95329
263.9303333,11485,-58.73718119,0.336963586,-106.8838,32.95337
264.5976667,11432,-57.06028665,0.3386081594,-106.88384,32.95342
265.5986667,11379,-56.63214337,0.5728333523,-106.88387,32.95345
266.5996667,11325,-57.8554099,-0.2953274172,-106.88389,32.95352
267.9343333,11270,-57.97773655,2.502645268,-106.88389,32.95355
268.6016667,11219,-52.09076638,2.805440735,-106.88393,32.95363
269.6026667,11165,-52.40473812,2.322733163,-106.88395,32.95368
270.6036667,11117,-53.94605395,-0.9653302789,-106.88396,32.95373
271.9383333,11066,-55.33751962,1.277800265,-106.88397,32.95375
272.7725,11020,-49.98572856,1.850567201,-106.88401,32.9538
273.6066667,10966,-49.83680915,2.279555734,-106.88403,32.95388
274.6076667,10915,-49.59215585,-1.222365493,-106.88405,32.95393
275.9423333,10863,-55.05098274,-1.25459913,-106.88404,32.95398
279.7795,10660,-54.73701099,-0.193457169,-106.88408,32.95411
280.9473333,10606,-50.73387128,0.5283128549,-106.8841,32.95411
281.6146667,10555,-52.01830113,-0.2377431998,-106.88412,32.95414
282.6156667,10502,-54.23686179,-0.8561707662,-106.88413,32.95414
283.9503333,10453,-52.13802895,-0.4264184556,-106.88415,32.95414
284.7845,10403,-52.66811111,0.2734797494,-106.88419,32.95414
286.6196667,10303,-52.88218275,-0.1794183494,-106.88429,32.95414
287.9543333,10252,-52.5967539,-0.3393025028,-106.88435,32.95416
288.9553333,10202,-53.7129846,0.1985822288,-106.8844,32.95419
289.6226667,10150,-52.7139836,-0.1889539995,-106.88446,32.95424
290.6236667,10099,-53.66368326,-0.4588221566,-106.88451,32.95429
291.7915,10047,-55.9114355,-0.6591016694,-106.88459,32.95434
292.7925,9994,-55.01437338,1.139895939,-106.88461,32.95439
293.6266667,9943,-51.30379824,1.353753724,-106.88465,32.95447
294.6276667,9889,-52.5882281,0.7524302471,-106.88466,32.95452
295.7955,9838,-53.64839242,-0.06498173055,-106.88467,32.95457
296.7965,9786,-51.65039043,0.0205613834,-106.88469,32.95465
297.6306667,9736,-52.506677,2.661341323,-106.88472,32.95473
298.6316667,9684,-45.48512712,3.340254925,-106.88471,32.95478
299.9663333,9632,-40.10275439,-0.6061340645,-106.88473,32.9548
300.8005,9576,-50.83487941,-2.046109816,-106.88477,32.95485
301.6346667,9572,-48.58712716,-8.751060556,-106.88478,32.95493
301.8015,9571,-51.27015841,-6.344447617,-106.88478,32.95493
302.6356667,9465,-55.97973455,-7.0573069,-106.88479,32.95498
303.9703333,9406,-55.23761952,7.131444266,-106.88483,32.95501
304.8045,9347,-33.145426,-0.1397204195,-106.88488,32.95506
305.6386667,9287,-56.05109177,3.2351591,-106.88494,32.95511
306.6396667,9225,-45.3597423,-9.549259279,-106.885,32.95516
306.9733333,9275,-49.32006769,0.7301715797,-106.885,32.95516
307.6406667,9164,-47.06517972,-1.852415765,-106.88506,32.95521
308.8085,9103,-43.64003344,2.249117327,-106.88514,32.95524
309.6426667,9043,-43.27676035,-8.619610539,-106.88522,32.95529
310.6436667,8988,-72.53321817,-4.700339298,-106.88532,32.95534
311.8115,8932,-55.3769051,-4.941785663,-106.88543,32.95542
313.6466667,8823,-55.90698726,5.085768249,-106.88564,32.95557
314.6476667,8768,-55.05070069,0.2703310527,-106.88573,32.95565
315.8155,8714,-54.76527183,0.4073481616,-106.88581,32.95572
316.8165,8658,-54.64294518,0.5473278026,-106.8859,32.95583
317.6506667,8603,-53.57907399,0.5459699754,-106.88597,32.95593
318.6516667,8550,-53.33849824,0.6448973861,-106.88603,32.95603
319.8195,8495,-52.84919162,0.4613541223,-106.88608,32.95611
320.8205,8443,-52.12372661,0.5115937289,-106.88612,32.95619
326.6596667,8132,-49.84029576,0.08678778888,-106.88639,32.9566
327.8275,8082,-50.83929676,-0.1661075281,-106.88645,32.95665
339.8395,7471,-51.24705227,0.1380457659,-106.88753,32.95724
340.8405,7421,-49.94223464,0.4981415408,-106.88764,32.95729
341.6746667,7371,-49.7546671,-0.3622682984,-106.88774,32.95736
342.6756667,7321,-52.37245747,-0.8409023883,-106.88786,32.95741
343.8435,7271,-52.52706477,-0.657867281,-106.88797,32.95749
344.8445,7219,-51.7523293,0.7271164685,-106.8881,32.95759
345.6786667,7168,-50.46789945,0.1249201029,-106.88822,32.95767
346.6796667,7116,-52.40881567,-0.4647648549,-106.88835,32.95775
347.8475,7064,-53.57091888,-0.5435188328,-106.88848,32.95785
348.8485,7013,-52.26610125,0.6845000918,-106.8886,32.95795
349.6826667,6960,-50.81041408,0.636006263,-106.88872,32.95805
350.6836667,6909,-51.9521295,-0.1010999342,-106.88885,32.95816
351.8515,6859,-53.01229383,-0.3365471716,-106.88898,32.95826
352.8525,6808,-51.97251728,0.762206603,-106.8891,32.95834
353.6866667,6758,-50.17431548,0.6941212674,-106.88922,32.95844
354.6876667,6706,-51.28748802,0.05691235744,-106.88934,32.95857
355.8555,6655,-52.3068768,-0.2746690461,-106.88944,32.95867
356.8565,6604,-51.14477359,0.7233339499,-106.88956,32.95877
357.6906667,6555,-49.57491488,0.6911340476,-106.88967,32.95887
358.6916667,6505,-50.54537299,0.2110451428,-106.88975,32.95898
359.8595,6455,-50.8715774,0.1743838082,-106.88982,32.9591
360.8605,6406,-49.09784093,1.170485846,-106.88992,32.959721
361.6946667,6357,-47.41381068,1.016469446,-106.89,32.95933
362.6956667,6311,-48.15592571,0.2570560875,-106.89009,32.95946
363.8635,6266,-48.7471712,0.07972385449,-106.8902,32.95956
364.8645,6219,-47.25886359,1.227902539,-106.8903,32.95964
365.6986667,6173,-45.00397562,1.187555674,-106.8904,32.95972
366.6996667,6126,-45.6319191,0.5115517009,-106.8905,32.9598
367.8675,6081,-46.26394014,0.2554654899,-106.89061,32.95985
368.8685,6038,-44.32710147,0.9684975872,-106.89072,32.9599
369.7026667,5996,-43.06602488,1.243942535,-106.89082,32.95995
370.7036667,5953,-42.78059603,0.7735523955,-106.8909,32.96
371.8715,5914,-42.16896276,0.3733143109,-106.89099,32.96003
373.7066667,5829,-41.59810505,0.3923238918,-106.89117,32.96008
374.7076667,5784,-41.25559042,0.421420189,-106.89125,32.9601
375.8755,5744,-40.54201828,0.3584663822,-106.89135,32.96015
376.8765,5705,-40.41969163,0.4932615921,-106.89143,32.96018
377.7106667,5665,-39.79693776,0.1470156547,-106.89149,32.96023
378.7116667,5627,-40.22508104,-0.2079591719,-106.89158,32.96026
379.8795,5589,-41.32602092,-0.3142400104,-106.89168,32.96028
380.8805,5547,-40.89787763,0.1134755593,-106.89178,32.96033
381.7146667,5507,-40.18430549,-0.2756389227,-106.89186,32.96038
382.7156667,5465,-42.29647903,-0.9244863516,-106.8919,32.96044
383.8835,5423,-44.0702155,-1.087425616,-106.89196,32.96051
384.8845,5380,-43.70323554,-0.2700136386,-106.89203,32.96061
385.7186667,5336,-43.41780668,-0.5051117204,-106.89212,32.96069
386.7196667,5291,-45.64415177,-1.034664331,-106.89219,32.96079
387.8875,5245,-47.07129605,-1.291293672,-106.89225,32.9609
388.8885,5199,-47.49943934,0.163753961,-106.89233,32.96102
389.7226667,5151,-45.7134702,0.02932906764,-106.8924,32.96115
390.7236667,5105,-47.34041469,-0.6916771785,-106.89248,32.96125
391.7246667,5059,-49.93373973,-1.207496336,-106.89257,32.96138
392.8925,5012,-49.24055536,2.716895853,-106.89264,32.96151
393.7266667,4965,-40.77555098,-2.436058392,-106.89269,32.96161
394.5608333,4917,-55.83192318,-2.540805062,-106.89277,32.96174
395.7286667,4869,-55.50571877,-5.748846413,-106.89286,32.96187
396.8965,4871,-54.89408551,0.3883628277,-106.89294,32.96197
397.5638333,4770,-54.65249037,0.4602306819,-106.89304,32.96207
398.7316667,4719,-54.07449693,-0.7943289152,-106.89311,32.96212
399.7326667,4683,-57.31768232,-1.372508712,-106.89317,32.96218