Time (s),Telemega Altitude MSL (ft),Telemega Speed (ft/s),Telemega Acceleration (ft/s^2),Telemega Mach,Telemega Temperature (F),,Featherweight Altitude (ft),Featherweight Speed (ft/s),Featherweight Acceleration (ft/s^2),Longitude,Latitude
149.89,16412.79528,-63.32020997,-23.0971136,-0.058,42.375065,,17509,-61.91359661,-0.1204586707,-106.8775,32.94797
150.9,16338.77953,-57.28346457,11.5485568,-0.052,42.639017,,17448,-63.03492426,-0.3811614941,-106.87751,32.94799
151.91,16281.69291,-50.16404199,-18.1430452,-0.046,42.842597,,17387,-61.93398438,0.1149885668,-106.87753,32.94804
152.92,16238.25459,-53.2480315,-8.2349084,-0.048,42.997505,,17327,-61.76272707,0.530095741,-106.87754,32.94807
153.93,16177.75591,-51.18110236,4.9540684,-0.047,43.213253,,17266,-61.47729821,-0.1507576149,-106.87754,32.94812
154.94,16128.64173,-52.82152231,11.5485568,-0.048,43.388402,,17205,-62.57823809,0.37553621,-106.87755,32.94815
155.95,16080.01969,-60.46587927,-28.051182,-0.055,43.561796,,17144,-61.08993048,0.8032517797,-106.87755,32.94815
156.96,16011.74541,-58.49737533,-1.64042,-0.053,43.805273,,17085,-59.52007176,0.5376995734,-106.87756,32.94817
157.97,15954.39633,-58.16929134,-34.6456704,-0.053,44.009789,,17025,-61.26118779,-0.4120035692,-106.87759,32.9482
158.98,15900.68898,-62.17191601,-19.7834652,-0.056,44.201318,,16966,-62.5048421,0.09989728726,-106.8776,32.94825
159.99,15829.26509,-56.66010499,-24.7375336,-0.051,44.456027,,16905,-59.39774511,0.5086032761,-106.87761,32.94828
161,15776.67323,-53.37926509,9.9081368,-0.048,44.643578,,16844,-59.8258884,0.4073481616,-106.87762,32.9483
162.01,15723.29396,-44.22572178,-18.1430452,-0.04,44.833937,,16783,-61.19594691,-0.7481777114,-106.87764,32.94835
163.02,15666.92913,-42.55249344,-14.8622052,-0.039,45.034943,,16723,-61.61938532,-0.5770914835,-106.87765,32.94835
164.03,15657.15223,-71.52230971,-1.64042,-0.065,45.069809,,16661,-61.61938532,0.1528764222,-106.87764,32.9484
165.04,15553.1168,-70.93175853,-9.9081368,-0.064,45.440816,,16603,-60.93435607,0.2956720964,-106.87766,32.94843
166.05,15489.53412,-57.21784777,-3.3136484,-0.052,45.667562,,16603,-60.93435607,0.2956720964,-106.87766,32.94843
167.06,15432.28346,-56.49606299,-6.5944884,-0.051,45.871727,,16487,-60.79164164,0.3364069126,-106.87767,32.94848
168.07,15379.03543,-50.95144357,-14.8622052,-0.046,46.061618,,16426,-60.66931499,-0.370749496,-106.87766,32.94848
169.08,15313.64829,-42.48687664,-21.4566936,-0.039,46.294799,,16369,-61.75394464,0.1110702654,-106.87769,32.94851
170.09,15295.24278,-59.08792651,-21.4566936,-0.054,46.360436,,16309,-60.2411717,-0.1928741321,-106.87769,32.94848
171.1,15219.94751,-65.19028871,3.3136484,-0.059,46.628951,,16250,-61.16332647,0.6134245521,-106.87773,32.94848
172.11,15154.00262,-58.62860892,-24.7375336,-0.053,46.864121,,16192,-60.23019367,-0.1184443116,-106.87777,32.94851
173.12,15097.80184,-49.63910761,13.1889768,-0.045,47.064542,,16133,-60.91522292,0.1447652697,-106.87782,32.94851
174.13,15038.64829,-44.75065617,-11.5485568,-0.041,47.275493,,16073,-60.91522292,-0.1717129174,-106.87787,32.94853
175.14,15014.73097,-58.89107612,18.1430452,-0.053,47.360786,,16073,-60.91522292,-0.1717129174,-106.87787,32.94853
176.15,14935.82677,-62.5,-1.64042,-0.057,47.642171,,15955,-60.54824297,-0.1489014203,-106.87796,32.94861
177.16,14884.31759,-55.44619423,4.9540684,-0.05,47.825861,,15894,-61.06201491,-0.1489014203,-106.87798,32.94866
178.17,14810.89239,-39.99343832,-11.5485568,-0.036,48.087707,,15834,-61.06201491,-0.1645686573,-106.878,32.94871
179.18,14789.33727,-47.40813648,-16.5026252,-0.043,48.164576,,15778,-60.91930048,0.2625828919,-106.87803,32.94876
180.19,14739.79659,-65.7808399,21.4566936,-0.06,48.341246,,15717,-60.36412567,1.127518822,-106.87802,32.94879
181.2,14669.29134,-66.27296588,-4.9540684,-0.06,48.592679,,15658,-57.76672307,0.5735253219,-106.87805,32.94884
182.21,14595.11155,-57.02099738,4.9540684,-0.052,48.857216,,15599,-59.3080389,-0.05567091542,-106.87803,32.94889
183.22,14548.0315,-54.69160105,-14.8622052,-0.049,49.025111,,15540,-60.73518318,0.1547923014,-106.87803,32.94892
184.23,14483.53018,-52.09973753,-6.5944884,-0.047,49.255133,,15485,-57.50575955,0.6680509851,-106.87805,32.94894
185.24,14440.87927,-54.03543307,-6.5944884,-0.049,49.63199,,15426,-57.50575955,0.5146165109,-106.87808,32.94897
186.25,14377.85433,-52.78871391,-11.5485568,-0.048,49.63199,,15368,-59.1897898,-0.9448537597,-106.87813,32.94899
187.26,14330.24934,-55.38057743,-6.5944884,-0.05,49.801757,,15309,-60.53538298,-0.7343905428,-106.87819,32.94904
188.27,14273.8189,-61.67979003,6.5944884,-0.056,50.002997,,15250,-59.90336194,0.5563599987,-106.87825,32.94907
189.28,14210.72835,-57.70997375,-13.1889768,-0.052,50.227988,,15191,-58.07661726,0.2750957918,-106.87833,32.94915
190.29,14144.38976,-50.16404199,-8.2349084,-0.045,50.464562,,15131,-60.07461926,-0.2379689165,-106.87842,32.9492
191.3,14108.95669,-56.46325459,0,-0.051,50.590922,,15072,-61.13478358,-0.6081126127,-106.87849,32.94927
192.31,14039.89501,-55.90551181,-3.3136484,-0.05,50.837207,,15014,-60.05423148,0.9012481088,-106.87857,32.94935
193.32,13988.18898,-50.98425197,4.9540684,-0.046,51.021599,,14954,-57.94205794,1.372102102,-106.87863,32.94943
194.33,13933.62861,-51.67322835,-6.5944884,-0.047,51.21617,,14896,-57.43679568,1.51418902,-106.87871,32.9495
195.34,13889.23885,-56.98818898,-4.9540684,-0.051,51.374471,,14836,-55.67835004,0.9077833902,-106.87875,32.94961
196.35,13821.91601,-56.82414698,-1.64042,-0.051,51.614555,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
197.36,13773.0643,-59.58005249,-1.64042,-0.054,51.788768,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
198.37,13706.39764,-54.46194226,-6.5944884,-0.049,52.026512,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
199.38,13649.44226,-49.77034121,-9.9081368,-0.045,52.368737,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
200.39,13610.43307,-57.34908136,8.2349084,-0.052,52.614086,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
201.4,13541.63386,-55.61023622,-26.410762,-0.05,52.614086,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
202.41,13489.10761,-50.1312336,11.5485568,-0.045,52.801403,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
203.42,13437.46719,-51.21391076,0,-0.046,52.985561,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
204.43,13390.87927,-56.2007874,-9.9081368,-0.051,53.377628,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
205.44,13327.52625,-56.52887139,-14.8622052,-0.051,53.377628,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
206.45,13275.36089,-44.88188976,-8.2349084,-0.04,53.563658,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
207.46,13213.45144,-57.48031496,4.9540684,-0.052,53.784437,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
209.48,13111.61417,-64.43569554,-13.1889768,-0.058,54.147605,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
211.5,12995.47244,-32.51312336,-18.1430452,-0.029,54.561785,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
212.51,12934.51444,-59.54724409,1.64042,-0.054,54.779171,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
215.54,12781.03675,-37.3687664,1.64042,-0.034,55.526567,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
216.55,12724.93438,-45.99737533,3.3136484,-0.041,55.526567,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
217.56,12691.89633,-56.06955381,4.9540684,-0.05,55.644386,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
218.57,12625.09843,-56.1351706,-14.8622052,-0.05,55.882598,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
219.58,12567.68373,-48.03149606,-11.5485568,-0.043,56.087348,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
220.59,12522.76903,-49.01574803,-11.5485568,-0.044,56.247521,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
221.6,12475.13123,-54.29790026,-13.1889768,-0.049,56.417405,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
222.61,12416.7979,-50.55774278,-11.5485568,-0.045,56.625431,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
223.62,12362.53281,-46.9816273,0,-0.042,56.818949,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
224.63,12325.88583,-53.1167979,8.2349084,-0.048,57.18083,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
225.64,12261.05643,-52.16535433,3.3136484,-0.047,57.18083,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
226.65,12215.38714,-40.38713911,-13.1889768,-0.036,57.544349,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
227.66,12159.12073,-60.40026247,-8.2349084,-0.054,57.544349,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
229.68,12059.48163,-37.20472441,1.64042,-0.033,58.044524,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
230.69,12018.86483,-53.60892388,-4.9540684,-0.048,58.044524,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
231.7,11951.50919,-46.58792651,-6.5944884,-0.042,58.284725,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
232.71,11913.38583,-33.59580052,14.8622052,-0.03,58.420679,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
233.72,11866.66667,-71.35826772,-1.64042,-0.064,58.587287,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
235.74,11742.55249,-35.99081365,-9.9081368,-0.032,59.029898,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
236.75,11702.3294,-48.68766404,-4.9540684,-0.044,59.17334,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
237.76,11639.14042,-41.79790026,-14.8622052,-0.037,59.398682,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
238.77,11612.30315,-52.55905512,-13.1889768,-0.047,59.494388,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
239.78,11556.69291,-62.92650919,11.5485568,-0.056,59.692703,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
240.79,11482.97244,-55.01968504,-14.8622052,-0.049,59.955602,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
241.8,11434.18635,-52.85433071,-6.5944884,-0.047,60.129581,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
242.81,11381.59449,-51.21391076,-4.9540684,-0.046,60.317132,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
243.82,11321.78478,-43.8648294,-11.5485568,-0.039,60.530423,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
244.83,11289.00919,-52.36220472,-4.9540684,-0.047,60.647306,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
245.84,11234.35039,-61.02362205,6.5944884,-0.055,60.842228,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
246.85,11165.2231,-55.38057743,16.5026252,-0.05,61.088747,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
247.86,11113.48425,-49.31102362,4.9540684,-0.044,61.273256,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
248.87,11061.41732,-37.4015748,9.9081368,-0.033,61.458935,,14780,-54.9647779,0.7328893426,-106.87879,32.94968
249.88,11018.63517,-37.4015748,-18.1430452,-0.033,61.611503,,11750,-56.03513612,0.6790611926,-106.88352,32.95299
250.89,11006.39764,-62.17191601,6.5944884,-0.056,61.975958,,11750,-56.03513612,0.6790611926,-106.88352,32.95299
251.9,10916.43701,-60.26902887,-8.2349084,-0.054,61.975958,,11699,-54.24101187,0.6451155125,-106.88361,32.95306
252.91,10863.94357,-51.24671916,-23.0971136,-0.046,62.163158,,11593,-56.98316768,-1.330617951,-106.88374,32.95322
253.92,10813.45144,-50.98425197,-18.1430452,-0.046,62.343221,,11540,-56.48942894,-2.175865386,-106.88379,32.95329
254.93,10759.61286,-50.0984252,-1.64042,-0.045,62.535218,,11540,-56.48942894,-2.175865386,-106.88379,32.95329
255.94,10712.30315,-44.38976378,-9.9081368,-0.04,62.703932,,11432,-57.06028665,0.3386081594,-106.88384,32.95342
256.95,10657.51312,-37.95931759,-14.8622052,-0.034,62.899322,,11379,-56.63214337,0.5728333523,-106.88387,32.95345
257.96,10637.5,-53.31364829,-1.64042,-0.048,62.970692,,11325,-57.8554099,-0.2953274172,-106.88389,32.95352
258.97,10574.54068,-61.48293963,-11.5485568,-0.055,63.195215,,11270,-57.97773655,2.502645268,-106.88389,32.95355
259.98,10507.21785,-54.59317585,3.3136484,-0.049,63.435299,,11219,-52.09076638,2.805440735,-106.88393,32.95363
260.99,10457.64436,-47.83464567,-14.8622052,-0.043,63.612086,,11165,-52.40473812,2.322733163,-106.88395,32.95368
262,10402.16535,-43.27427822,-14.8622052,-0.039,63.809933,,11117,-53.94605395,-0.9653302789,-106.88396,32.95373
263.01,10371.0958,-50.85301837,-11.5485568,-0.045,63.920732,,11066,-55.33751962,1.277800265,-106.88397,32.95375
264.02,10310.9252,-52.59186352,13.1889768,-0.047,64.13531,,11020,-49.98572856,1.850567201,-106.88401,32.9538
265.03,10259.05512,-49.63910761,1.64042,-0.044,64.320287,,10966,-49.83680915,2.279555734,-106.88403,32.95388
266.04,10210.26903,-47.27690289,-13.1889768,-0.042,64.494266,,10915,-49.59215585,-1.222365493,-106.88405,32.95393
267.05,10158.92388,-44.32414698,11.5485568,-0.039,64.677371,,10863,-55.05098274,-1.25459913,-106.88404,32.95398
268.06,10120.27559,-47.93307087,1.64042,-0.043,64.815197,,10863,-55.05098274,-1.25459913,-106.88404,32.95398
269.07,10068.3727,-51.67322835,-11.5485568,-0.046,65.000291,,10863,-55.05098274,-1.25459913,-106.88404,32.95398
270.08,10018.01181,-44.29133858,0,-0.039,65.179886,,10863,-55.05098274,-1.25459913,-106.88404,32.95398
271.09,9961.450131,-36.74540682,-13.1889768,-0.033,65.381594,,10660,-54.73701099,-0.193457169,-106.88408,32.95411
272.1,9948.884514,-51.34514436,-11.5485568,-0.046,65.426405,,10606,-50.73387128,0.5283128549,-106.8841,32.95411
273.11,9876.213911,-40.4855643,6.5944884,-0.036,65.68556,,10555,-52.01830113,-0.2377431998,-106.88412,32.95414
274.12,9831.692913,-58.82545932,-3.3136484,-0.052,65.844329,,10502,-54.23686179,-0.8561707662,-106.88413,32.95414
276.14,9725.918635,-23.75328084,-11.5485568,-0.021,66.221537,,10403,-52.66811111,0.2734797494,-106.88419,32.95414
277.15,9713.812336,-55.01968504,-1.64042,-0.049,66.26471,,10403,-52.66811111,0.2734797494,-106.88419,32.95414
278.16,9639.501312,-57.90682415,8.2349084,-0.051,66.529715,,10303,-52.88218275,-0.1794183494,-106.88429,32.95414
279.17,9582.513123,-47.04724409,-1.64042,-0.042,66.732944,,10252,-52.5967539,-0.3393025028,-106.88435,32.95416
280.18,9536.548556,-45.96456693,-16.5026252,-0.041,66.896861,,10202,-53.7129846,0.1985822288,-106.8844,32.95419
281.19,9495.013123,-46.39107612,16.5026252,-0.041,67.044983,,10150,-52.7139836,-0.1889539995,-106.88446,32.95424
282.2,9437.204724,-45.96456693,3.3136484,-0.041,67.251137,,10099,-53.66368326,-0.4588221566,-106.88451,32.95429
282.7915,,,,,,,10047,-55.9114355,-0.6591016694,-106.88459,32.95434
283.7925,,,,,,,9994,-55.01437338,1.139895939,-106.88461,32.95439
284.6266667,,,,,,,9943,-51.30379824,1.353753724,-106.88465,32.95447
285.6276667,,,,,,,9889,-52.5882281,0.7524302471,-106.88466,32.95452
286.7955,,,,,,,9838,-53.64839242,-0.06498173055,-106.88467,32.95457
287.7965,,,,,,,9786,-51.65039043,0.0205613834,-106.88469,32.95465
288.6306667,,,,,,,9736,-52.506677,2.661341323,-106.88472,32.95473
289.6316667,,,,,,,9684,-45.48512712,3.340254925,-106.88471,32.95478
290.9663333,,,,,,,9632,-40.10275439,-0.6061340645,-106.88473,32.9548
291.8005,,,,,,,9576,-50.83487941,-2.046109816,-106.88477,32.95485
292.6346667,,,,,,,9572,-48.58712716,-8.751060556,-106.88478,32.95493
292.8015,,,,,,,9571,-51.27015841,-6.344447617,-106.88478,32.95493
293.6356667,,,,,,,9465,-55.97973455,-7.0573069,-106.88479,32.95498
294.9703333,,,,,,,9406,-55.23761952,7.131444266,-106.88483,32.95501
295.8045,,,,,,,9347,-33.145426,-0.1397204195,-106.88488,32.95506
296.6386667,,,,,,,9287,-56.05109177,3.2351591,-106.88494,32.95511
297.6396667,,,,,,,9225,-45.3597423,-9.549259279,-106.885,32.95516
297.9733333,,,,,,,9275,-49.32006769,0.7301715797,-106.885,32.95516
298.6406667,,,,,,,9164,-47.06517972,-1.852415765,-106.88506,32.95521
299.8085,,,,,,,9103,-43.64003344,2.249117327,-106.88514,32.95524
300.6426667,,,,,,,9043,-43.27676035,-8.619610539,-106.88522,32.95529
301.6436667,,,,,,,8988,-72.53321817,-4.700339298,-106.88532,32.95534
302.8115,,,,,,,8932,-55.3769051,-4.941785663,-106.88543,32.95542
304.6466667,,,,,,,8823,-55.90698726,5.085768249,-106.88564,32.95557
305.6476667,,,,,,,8768,-55.05070069,0.2703310527,-106.88573,32.95565
306.8155,,,,,,,8714,-54.76527183,0.4073481616,-106.88581,32.95572
307.8165,,,,,,,8658,-54.64294518,0.5473278026,-106.8859,32.95583
308.6506667,,,,,,,8603,-53.57907399,0.5459699754,-106.88597,32.95593
309.6516667,,,,,,,8550,-53.33849824,0.6448973861,-106.88603,32.95603
310.8195,,,,,,,8495,-52.84919162,0.4613541223,-106.88608,32.95611
311.8205,,,,,,,8443,-52.12372661,0.5115937289,-106.88612,32.95619
317.6596667,,,,,,,8132,-49.84029576,0.08678778888,-106.88639,32.9566
318.8275,,,,,,,8082,-50.83929676,-0.1661075281,-106.88645,32.95665
330.8395,,,,,,,7471,-51.24705227,0.1380457659,-106.88753,32.95724
331.8405,,,,,,,7421,-49.94223464,0.4981415408,-106.88764,32.95729
332.6746667,,,,,,,7371,-49.7546671,-0.3622682984,-106.88774,32.95736
333.6756667,,,,,,,7321,-52.37245747,-0.8409023883,-106.88786,32.95741
334.8435,,,,,,,7271,-52.52706477,-0.657867281,-106.88797,32.95749
335.8445,,,,,,,7219,-51.7523293,0.7271164685,-106.8881,32.95759
336.6786667,,,,,,,7168,-50.46789945,0.1249201029,-106.88822,32.95767
337.6796667,,,,,,,7116,-52.40881567,-0.4647648549,-106.88835,32.95775
338.8475,,,,,,,7064,-53.57091888,-0.5435188328,-106.88848,32.95785
339.8485,,,,,,,7013,-52.26610125,0.6845000918,-106.8886,32.95795
340.6826667,,,,,,,6960,-50.81041408,0.636006263,-106.88872,32.95805
341.6836667,,,,,,,6909,-51.9521295,-0.1010999342,-106.88885,32.95816
342.8515,,,,,,,6859,-53.01229383,-0.3365471716,-106.88898,32.95826
343.8525,,,,,,,6808,-51.97251728,0.762206603,-106.8891,32.95834
344.6866667,,,,,,,6758,-50.17431548,0.6941212674,-106.88922,32.95844
345.6876667,,,,,,,6706,-51.28748802,0.05691235744,-106.88934,32.95857
346.8555,,,,,,,6655,-52.3068768,-0.2746690461,-106.88944,32.95867
347.8565,,,,,,,6604,-51.14477359,0.7233339499,-106.88956,32.95877
348.6906667,,,,,,,6555,-49.57491488,0.6911340476,-106.88967,32.95887
349.6916667,,,,,,,6505,-50.54537299,0.2110451428,-106.88975,32.95898
350.8595,,,,,,,6455,-50.8715774,0.1743838082,-106.88982,32.9591
351.8605,,,,,,,6406,-49.09784093,1.170485846,-106.88992,32.959721
352.6946667,,,,,,,6357,-47.41381068,1.016469446,-106.89,32.95933
353.6956667,,,,,,,6311,-48.15592571,0.2570560875,-106.89009,32.95946
354.8635,,,,,,,6266,-48.7471712,0.07972385449,-106.8902,32.95956
355.8645,,,,,,,6219,-47.25886359,1.227902539,-106.8903,32.95964
356.6986667,,,,,,,6173,-45.00397562,1.187555674,-106.8904,32.95972
357.6996667,,,,,,,6126,-45.6319191,0.5115517009,-106.8905,32.9598
358.8675,,,,,,,6081,-46.26394014,0.2554654899,-106.89061,32.95985
359.8685,,,,,,,6038,-44.32710147,0.9684975872,-106.89072,32.9599
360.7026667,,,,,,,5996,-43.06602488,1.243942535,-106.89082,32.95995
361.7036667,,,,,,,5953,-42.78059603,0.7735523955,-106.8909,32.96
362.8715,,,,,,,5914,-42.16896276,0.3733143109,-106.89099,32.96003
364.7066667,,,,,,,5829,-41.59810505,0.3923238918,-106.89117,32.96008
365.7076667,,,,,,,5784,-41.25559042,0.421420189,-106.89125,32.9601
366.8755,,,,,,,5744,-40.54201828,0.3584663822,-106.89135,32.96015
367.8765,,,,,,,5705,-40.41969163,0.4932615921,-106.89143,32.96018
368.7106667,,,,,,,5665,-39.79693776,0.1470156547,-106.89149,32.96023
369.7116667,,,,,,,5627,-40.22508104,-0.2079591719,-106.89158,32.96026
370.8795,,,,,,,5589,-41.32602092,-0.3142400104,-106.89168,32.96028
371.8805,,,,,,,5547,-40.89787763,0.1134755593,-106.89178,32.96033
372.7146667,,,,,,,5507,-40.18430549,-0.2756389227,-106.89186,32.96038
373.7156667,,,,,,,5465,-42.29647903,-0.9244863516,-106.8919,32.96044
374.8835,,,,,,,5423,-44.0702155,-1.087425616,-106.89196,32.96051
375.8845,,,,,,,5380,-43.70323554,-0.2700136386,-106.89203,32.96061
376.7186667,,,,,,,5336,-43.41780668,-0.5051117204,-106.89212,32.96069
377.7196667,,,,,,,5291,-45.64415177,-1.034664331,-106.89219,32.96079
378.8875,,,,,,,5245,-47.07129605,-1.291293672,-106.89225,32.9609
379.8885,,,,,,,5199,-47.49943934,0.163753961,-106.89233,32.96102
380.7226667,,,,,,,5151,-45.7134702,0.02932906764,-106.8924,32.96115
381.7236667,,,,,,,5105,-47.34041469,-0.6916771785,-106.89248,32.96125
382.7246667,,,,,,,5059,-49.93373973,-1.207496336,-106.89257,32.96138
383.8925,,,,,,,5012,-49.24055536,2.716895853,-106.89264,32.96151
384.7266667,,,,,,,4965,-40.77555098,-2.436058392,-106.89269,32.96161
385.5608333,,,,,,,4917,-55.83192318,-2.540805062,-106.89277,32.96174
386.7286667,,,,,,,4869,-55.50571877,-5.748846413,-106.89286,32.96187
387.8965,,,,,,,4871,-54.89408551,0.3883628277,-106.89294,32.96197
388.5638333,,,,,,,4770,-54.65249037,0.4602306819,-106.89304,32.96207
389.7316667,,,,,,,4719,-54.07449693,-0.7943289152,-106.89311,32.96212
390.7326667,,,,,,,4683,-57.31768232,-1.372508712,-106.89317,32.96218