Time (s),Temperature (F),Speed (ft/s),Mach,Altitude MSL (ft),Acceleration (ft/s^2)
120.68,36.588596,-51.44356955,-0.047,18089.17323,-3.3136484
121.61,36.588596,-56.69291339,-0.052,18035.40026,-3.3136484
122.41,36.77837,-56.69291339,-0.052,18035.40026,-3.3136484
122.62,36.77837,-63.22178478,-0.058,17982.18504,-8.2349084
122.7,37.027346,-63.22178478,-0.058,17982.18504,-8.2349084
123.41,37.245317,-63.22178478,-0.058,17982.18504,-8.2349084
123.63,37.245317,-61.28608924,-0.056,17912.36877,1.64042
124.64,37.245317,-54.29790026,-0.05,17851.24672,0.0
124.72,37.443983,-54.29790026,-0.05,17851.24672,0.0
125.65,37.443983,-37.6312336,-0.034,17795.53806,-8.2349084
125.73,37.61024,-37.6312336,-0.034,17795.53806,-8.2349084
126.66,37.61024,-69.91469816,-0.064,17748.91732,24.7375336
128.41,38.014475,-69.91469816,-0.064,17748.91732,24.7375336
128.68,38.014475,-38.77952756,-0.035,17635.5643,-14.8622052
128.76,38.279246,-38.77952756,-0.035,17635.5643,-14.8622052
129.69,38.279246,-38.81233596,-0.035,17561.3189,-21.4566936
129.77,38.27246,-38.81233596,-0.035,17561.3189,-21.4566936
130.7,38.27246,-64.59973753,-0.059,17563.22178,-18.1430452
130.78,38.615504,-64.59973753,-0.059,17563.22178,-18.1430452
131.71,38.615504,-72.17847769,-0.066,17467.02756,-13.1889768
131.79,38.840261,-72.17847769,-0.066,17467.02756,-13.1889768
132.72,38.840261,-66.92913386,-0.061,17404.00262,1.64042
133.41,39.096257,-66.92913386,-0.061,17404.00262,1.64042
133.73,39.319961,-58.75984252,-0.054,17332.21785,-3.3136484
134.74,39.319961,-48.58923885,-0.044,17269.48819,-8.2349084
134.82,39.46001,-48.58923885,-0.044,17269.48819,-8.2349084
135.75,39.46001,-56.69291339,-0.052,17230.21654,-18.1430452
135.83,39.664643,-56.69291339,-0.052,17230.21654,-18.1430452
136.76,39.664643,-63.35301837,-0.058,17172.83465,3.3136484
136.84,39.931988,-63.35301837,-0.058,17172.83465,3.3136484
137.77,39.931988,-57.15223097,-0.052,17097.86745,-3.3136484
138.41,40.096022,-57.15223097,-0.052,17097.86745,-3.3136484
138.78,40.096022,-59.18635171,-0.054,17051.87008,-4.9540684
138.86,40.334234,-59.18635171,-0.054,17051.87008,-4.9540684
139.79,40.334234,-56.66010499,-0.052,16985.07218,-9.9081368
139.87,40.540622,-56.66010499,-0.052,16985.07218,-9.9081368
140.8,40.540622,-51.24671916,-0.047,16927.19816,-11.5485568
140.88,40.705358,-51.24671916,-0.047,16927.19816,-11.5485568
141.81,40.705358,-53.44488189,-0.049,16881.00394,14.8622052
141.89,40.912565,-53.44488189,-0.049,16881.00394,14.8622052
142.82,40.912565,-61.08923885,-0.056,16822.90026,-4.9540684
142.9,41.099765,-61.08923885,-0.056,16822.90026,-4.9540684
143.83,41.406071,-64.14041995,-0.058,16770.40682,-19.7834652
144.84,41.406071,-49.01574803,-0.045,16684.51444,-4.9540684
144.92,41.512424,-49.01574803,-0.045,16684.51444,-4.9540684
145.85,41.512424,-55.34776903,-0.05,16654.6916,-11.5485568
145.93,41.716472,-55.34776903,-0.05,16654.6916,-11.5485568
146.86,41.716472,-68.11023622,-0.062,16597.47375,24.7375336
146.94,41.998325,-68.11023622,-0.062,16597.47375,24.7375336
147.87,41.998325,-59.74409449,-0.054,16518.43832,-14.8622052
148.41,42.203075,-59.74409449,-0.054,16518.43832,-14.8622052
148.88,42.203075,-55.90551181,-0.051,16461.02362,-3.3136484
148.96,42.375065,-55.90551181,-0.051,16461.02362,-3.3136484
149.89,42.375065,-63.32020997,-0.058,16412.79528,-23.0971136
149.97,42.639017,-63.32020997,-0.058,16412.79528,-23.0971136
150.9,42.639017,-57.28346457,-0.052,16338.77953,11.5485568
150.98,42.842597,-57.28346457,-0.052,16338.77953,11.5485568
151.91,42.842597,-50.16404199,-0.046,16281.69291,-18.1430452
151.99,42.997505,-50.16404199,-0.046,16281.69291,-18.1430452
152.92,42.997505,-53.2480315,-0.048,16238.25459,-8.2349084
153.41,43.213253,-53.2480315,-0.048,16238.25459,-8.2349084
153.93,43.213253,-51.18110236,-0.047,16177.75591,4.9540684
154.01,43.388402,-51.18110236,-0.047,16177.75591,4.9540684
154.94,43.388402,-52.82152231,-0.048,16128.64173,11.5485568
155.02,43.561796,-52.82152231,-0.048,16128.64173,11.5485568
155.95,43.561796,-60.46587927,-0.055,16080.01969,-28.051182
156.03,43.805273,-60.46587927,-0.055,16080.01969,-28.051182
156.96,43.805273,-58.49737533,-0.053,16011.74541,-1.64042
157.04,44.009789,-58.49737533,-0.053,16011.74541,-1.64042
157.97,44.009789,-58.16929134,-0.053,15954.39633,-34.6456704
158.41,44.201318,-58.16929134,-0.053,15954.39633,-34.6456704
158.98,44.201318,-62.17191601,-0.056,15900.68898,-19.7834652
159.06,44.456027,-62.17191601,-0.056,15900.68898,-19.7834652
159.99,44.456027,-56.66010499,-0.051,15829.26509,-24.7375336
160.07,44.643578,-56.66010499,-0.051,15829.26509,-24.7375336
161.0,44.643578,-53.37926509,-0.048,15776.67323,9.9081368
161.08,44.833937,-53.37926509,-0.048,15776.67323,9.9081368
162.01,44.833937,-44.22572178,-0.04,15723.29396,-18.1430452
162.09,45.034943,-44.22572178,-0.04,15723.29396,-18.1430452
163.02,45.034943,-42.55249344,-0.039,15666.92913,-14.8622052
163.1,45.069809,-42.55249344,-0.039,15666.92913,-14.8622052
164.03,45.069809,-71.52230971,-0.065,15657.15223,-1.64042
164.11,45.440816,-71.52230971,-0.065,15657.15223,-1.64042
165.04,45.440816,-70.93175853,-0.064,15553.1168,-9.9081368
165.12,45.667562,-70.93175853,-0.064,15553.1168,-9.9081368
166.05,45.667562,-57.21784777,-0.052,15489.53412,-3.3136484
166.13,45.871727,-57.21784777,-0.052,15489.53412,-3.3136484
167.06,45.871727,-56.49606299,-0.051,15432.28346,-6.5944884
167.14,46.061618,-56.49606299,-0.051,15432.28346,-6.5944884
168.07,46.061618,-50.95144357,-0.046,15379.03543,-14.8622052
168.41,46.294799,-50.95144357,-0.046,15379.03543,-14.8622052
169.08,46.294799,-42.48687664,-0.039,15313.64829,-21.4566936
169.16,46.360436,-42.48687664,-0.039,15313.64829,-21.4566936
170.09,46.360436,-59.08792651,-0.054,15295.24278,-21.4566936
170.17,46.628951,-59.08792651,-0.054,15295.24278,-21.4566936
171.1,46.628951,-65.19028871,-0.059,15219.94751,3.3136484
171.18,46.864121,-65.19028871,-0.059,15219.94751,3.3136484
172.11,46.864121,-58.62860892,-0.053,15154.00262,-24.7375336
172.19,47.064542,-58.62860892,-0.053,15154.00262,-24.7375336
173.12,47.064542,-49.63910761,-0.045,15097.80184,13.1889768
173.4,47.275493,-49.63910761,-0.045,15097.80184,13.1889768
174.13,47.275493,-44.75065617,-0.041,15038.64829,-11.5485568
174.21,47.360786,-44.75065617,-0.041,15038.64829,-11.5485568
175.14,47.360786,-58.89107612,-0.053,15014.73097,18.1430452
175.22,47.642171,-58.89107612,-0.053,15014.73097,18.1430452
176.15,47.642171,-62.5,-0.057,14935.82677,-1.64042
176.23,47.825861,-62.5,-0.057,14935.82677,-1.64042
177.16,47.825861,-55.44619423,-0.05,14884.31759,4.9540684
177.24,48.087707,-55.44619423,-0.05,14884.31759,4.9540684
178.17,48.087707,-39.99343832,-0.036,14810.89239,-11.5485568
178.41,48.164576,-39.99343832,-0.036,14810.89239,-11.5485568
179.18,48.164576,-47.40813648,-0.043,14789.33727,-16.5026252
179.26,48.341246,-47.40813648,-0.043,14789.33727,-16.5026252
180.19,48.341246,-65.7808399,-0.06,14739.79659,21.4566936
180.27,48.592679,-65.7808399,-0.06,14739.79659,21.4566936
181.2,48.592679,-66.27296588,-0.06,14669.29134,-4.9540684
181.28,48.857216,-66.27296588,-0.06,14669.29134,-4.9540684
182.21,48.857216,-57.02099738,-0.052,14595.11155,4.9540684
182.29,49.025111,-57.02099738,-0.052,14595.11155,4.9540684
183.22,49.025111,-54.69160105,-0.049,14548.0315,-14.8622052
183.4,49.255133,-54.69160105,-0.049,14548.0315,-14.8622052
184.23,49.255133,-52.09973753,-0.047,14483.53018,-6.5944884
184.31,49.407233,-52.09973753,-0.047,14483.53018,-6.5944884
185.24,49.63199,-54.03543307,-0.049,14440.87927,-6.5944884
186.25,49.63199,-52.78871391,-0.048,14377.85433,-11.5485568
186.33,49.801757,-52.78871391,-0.048,14377.85433,-11.5485568
187.26,49.801757,-55.38057743,-0.05,14330.24934,-6.5944884
187.34,50.002997,-55.38057743,-0.05,14330.24934,-6.5944884
188.27,50.002997,-61.67979003,-0.056,14273.8189,6.5944884
188.35,50.227988,-61.67979003,-0.056,14273.8189,6.5944884
189.28,50.227988,-57.70997375,-0.052,14210.72835,-13.1889768
189.36,50.464562,-57.70997375,-0.052,14210.72835,-13.1889768
190.29,50.464562,-50.16404199,-0.045,14144.38976,-8.2349084
190.37,50.590922,-50.16404199,-0.045,14144.38976,-8.2349084
191.3,50.590922,-56.46325459,-0.051,14108.95669,0.0
191.38,50.837207,-56.46325459,-0.051,14108.95669,0.0
192.31,50.837207,-55.90551181,-0.05,14039.89501,-3.3136484
192.39,51.021599,-55.90551181,-0.05,14039.89501,-3.3136484
193.32,51.021599,-50.98425197,-0.046,13988.18898,4.9540684
193.41,51.21617,-50.98425197,-0.046,13988.18898,4.9540684
194.33,51.21617,-51.67322835,-0.047,13933.62861,-6.5944884
194.41,51.374471,-51.67322835,-0.047,13933.62861,-6.5944884
195.34,51.374471,-56.98818898,-0.051,13889.23885,-4.9540684
195.4,51.614555,-56.98818898,-0.051,13889.23885,-4.9540684
196.35,51.614555,-56.82414698,-0.051,13821.91601,-1.64042
196.41,51.788768,-56.82414698,-0.051,13821.91601,-1.64042
197.36,51.788768,-59.58005249,-0.054,13773.0643,-1.64042
197.41,52.026512,-59.58005249,-0.054,13773.0643,-1.64042
198.37,52.026512,-54.46194226,-0.049,13706.39764,-6.5944884
198.41,52.229624,-54.46194226,-0.049,13706.39764,-6.5944884
199.38,52.368737,-49.77034121,-0.045,13649.44226,-9.9081368
200.39,52.614086,-57.34908136,-0.052,13610.43307,8.2349084
201.4,52.614086,-55.61023622,-0.05,13541.63386,-26.410762
201.48,52.801403,-55.61023622,-0.05,13541.63386,-26.410762
202.41,52.801403,-50.1312336,-0.045,13489.10761,11.5485568
203.41,52.985561,-50.1312336,-0.045,13489.10761,11.5485568
203.42,52.985561,-51.21391076,-0.046,13437.46719,0.0
203.5,53.151701,-51.21391076,-0.046,13437.46719,0.0
204.43,53.377628,-56.2007874,-0.051,13390.87927,-9.9081368
205.44,53.377628,-56.52887139,-0.051,13327.52625,-14.8622052
205.52,53.563658,-56.52887139,-0.051,13327.52625,-14.8622052
206.45,53.563658,-44.88188976,-0.04,13275.36089,-8.2349084
206.53,53.784437,-44.88188976,-0.04,13275.36089,-8.2349084
207.46,53.784437,-57.48031496,-0.052,13213.45144,4.9540684
208.41,54.147605,-57.48031496,-0.052,13213.45144,4.9540684
209.48,54.147605,-64.43569554,-0.058,13111.61417,-13.1889768
209.56,54.561785,-64.43569554,-0.058,13111.61417,-13.1889768
211.5,54.561785,-32.51312336,-0.029,12995.47244,-18.1430452
211.58,54.779171,-32.51312336,-0.029,12995.47244,-18.1430452
212.51,54.779171,-59.54724409,-0.054,12934.51444,1.64042
214.61,55.326497,-59.54724409,-0.054,12934.51444,1.64042
215.54,55.526567,-37.3687664,-0.034,12781.03675,1.64042
216.55,55.526567,-45.99737533,-0.041,12724.93438,3.3136484
216.63,55.644386,-45.99737533,-0.041,12724.93438,3.3136484
217.56,55.644386,-56.06955381,-0.05,12691.89633,4.9540684
218.4,55.882598,-56.06955381,-0.05,12691.89633,4.9540684
218.57,55.882598,-56.1351706,-0.05,12625.09843,-14.8622052
218.65,56.087348,-56.1351706,-0.05,12625.09843,-14.8622052
219.58,56.087348,-48.03149606,-0.043,12567.68373,-11.5485568
219.66,56.247521,-48.03149606,-0.043,12567.68373,-11.5485568
220.59,56.247521,-49.01574803,-0.044,12522.76903,-11.5485568
220.67,56.417405,-49.01574803,-0.044,12522.76903,-11.5485568
221.6,56.417405,-54.29790026,-0.049,12475.13123,-13.1889768
221.68,56.625431,-54.29790026,-0.049,12475.13123,-13.1889768
222.61,56.625431,-50.55774278,-0.045,12416.7979,-11.5485568
222.69,56.818949,-50.55774278,-0.045,12416.7979,-11.5485568
223.62,56.818949,-46.9816273,-0.042,12362.53281,0.0
223.7,56.949638,-46.9816273,-0.042,12362.53281,0.0
224.4,57.18083,-46.9816273,-0.042,12362.53281,0.0
224.63,57.18083,-53.1167979,-0.048,12325.88583,8.2349084
225.64,57.18083,-52.16535433,-0.047,12261.05643,3.3136484
225.72,57.343694,-52.16535433,-0.047,12261.05643,3.3136484
226.65,57.544349,-40.38713911,-0.036,12215.38714,-13.1889768
227.66,57.544349,-60.40026247,-0.054,12159.12073,-8.2349084
227.74,57.899678,-60.40026247,-0.054,12159.12073,-8.2349084
229.4,58.044524,-60.40026247,-0.054,12159.12073,-8.2349084
229.68,58.044524,-37.20472441,-0.033,12059.48163,1.64042
230.69,58.044524,-53.60892388,-0.048,12018.86483,-4.9540684
230.77,58.284725,-53.60892388,-0.048,12018.86483,-4.9540684
231.7,58.284725,-46.58792651,-0.042,11951.50919,-6.5944884
231.78,58.420679,-46.58792651,-0.042,11951.50919,-6.5944884
232.71,58.420679,-33.59580052,-0.03,11913.38583,14.8622052
232.79,58.587287,-33.59580052,-0.03,11913.38583,14.8622052
233.72,58.587287,-71.35826772,-0.064,11866.66667,-1.64042
234.81,59.029898,-71.35826772,-0.064,11866.66667,-1.64042
235.74,59.029898,-35.99081365,-0.032,11742.55249,-9.9081368
235.82,59.17334,-35.99081365,-0.032,11742.55249,-9.9081368
236.75,59.17334,-48.68766404,-0.044,11702.3294,-4.9540684
236.83,59.398682,-48.68766404,-0.044,11702.3294,-4.9540684
237.76,59.398682,-41.79790026,-0.037,11639.14042,-14.8622052
237.84,59.494388,-41.79790026,-0.037,11639.14042,-14.8622052
238.77,59.494388,-52.55905512,-0.047,11612.30315,-13.1889768
239.4,59.692703,-52.55905512,-0.047,11612.30315,-13.1889768
239.78,59.692703,-62.92650919,-0.056,11556.69291,11.5485568
239.86,59.955602,-62.92650919,-0.056,11556.69291,11.5485568
240.79,59.955602,-55.01968504,-0.049,11482.97244,-14.8622052
240.87,60.129581,-55.01968504,-0.049,11482.97244,-14.8622052
241.8,60.129581,-52.85433071,-0.047,11434.18635,-6.5944884
241.88,60.317132,-52.85433071,-0.047,11434.18635,-6.5944884
242.81,60.317132,-51.21391076,-0.046,11381.59449,-4.9540684
242.89,60.530423,-51.21391076,-0.046,11381.59449,-4.9540684
243.82,60.530423,-43.8648294,-0.039,11321.78478,-11.5485568
244.4,60.647306,-43.8648294,-0.039,11321.78478,-11.5485568
244.83,60.647306,-52.36220472,-0.047,11289.00919,-4.9540684
244.91,60.842228,-52.36220472,-0.047,11289.00919,-4.9540684
245.84,60.842228,-61.02362205,-0.055,11234.35039,6.5944884
245.92,61.088747,-61.02362205,-0.055,11234.35039,6.5944884
246.85,61.088747,-55.38057743,-0.05,11165.2231,16.5026252
246.93,61.273256,-55.38057743,-0.049,11165.2231,16.5026252
247.86,61.273256,-49.31102362,-0.044,11113.48425,4.9540684
247.94,61.458935,-49.31102362,-0.044,11113.48425,4.9540684
248.87,61.458935,-37.4015748,-0.033,11061.41732,9.9081368
249.4,61.611503,-37.4015748,-0.033,11061.41732,9.9081368
249.88,61.611503,-37.4015748,-0.033,11018.63517,-18.1430452
249.96,61.655144,-37.4015748,-0.033,11018.63517,-18.1430452
250.89,61.975958,-62.17191601,-0.056,11006.39764,6.5944884
251.9,61.975958,-60.26902887,-0.054,10916.43701,-8.2349084
251.98,62.163158,-60.26902887,-0.054,10916.43701,-8.2349084
252.91,62.163158,-51.24671916,-0.046,10863.94357,-23.0971136
252.99,62.343221,-51.24671916,-0.046,10863.94357,-23.0971136
253.92,62.343221,-50.98425197,-0.046,10813.45144,-18.1430452
254.4,62.535218,-50.98425197,-0.046,10813.45144,-18.1430452
254.93,62.535218,-50.0984252,-0.045,10759.61286,-1.64042
255.01,62.703932,-50.0984252,-0.045,10759.61286,-1.64042
255.94,62.703932,-44.38976378,-0.04,10712.30315,-9.9081368
256.02,62.899322,-44.38976378,-0.04,10712.30315,-9.9081368
256.95,62.899322,-37.95931759,-0.034,10657.51312,-14.8622052
257.03,62.970692,-37.95931759,-0.034,10657.51312,-14.8622052
257.96,62.970692,-53.31364829,-0.048,10637.5,-1.64042
258.04,63.195215,-53.31364829,-0.048,10637.5,-1.64042
258.97,63.195215,-61.48293963,-0.055,10574.54068,-11.5485568
259.4,63.435299,-61.48293963,-0.055,10574.54068,-11.5485568
259.98,63.435299,-54.59317585,-0.049,10507.21785,3.3136484
260.06,63.612086,-54.59317585,-0.049,10507.21785,3.3136484
260.99,63.612086,-47.83464567,-0.043,10457.64436,-14.8622052
261.07,63.809933,-47.83464567,-0.043,10457.64436,-14.8622052
262.0,63.809933,-43.27427822,-0.039,10402.16535,-14.8622052
262.08,63.920732,-43.27427822,-0.039,10402.16535,-14.8622052
263.01,63.920732,-50.85301837,-0.045,10371.0958,-11.5485568
263.09,64.13531,-50.85301837,-0.045,10371.0958,-11.5485568
264.02,64.13531,-52.59186352,-0.047,10310.9252,13.1889768
264.4,64.320287,-52.59186352,-0.047,10310.9252,13.1889768
265.03,64.320287,-49.63910761,-0.044,10259.05512,1.64042
265.11,64.494266,-49.63910761,-0.044,10259.05512,1.64042
266.04,64.494266,-47.27690289,-0.042,10210.26903,-13.1889768
266.12,64.677371,-47.27690289,-0.042,10210.26903,-13.1889768
267.05,64.677371,-44.32414698,-0.039,10158.92388,11.5485568
267.13,64.815197,-44.32414698,-0.039,10158.92388,11.5485568
268.06,64.815197,-47.93307087,-0.043,10120.27559,1.64042
268.14,65.000291,-47.93307087,-0.043,10120.27559,1.64042
269.07,65.000291,-51.67322835,-0.046,10068.3727,-11.5485568
269.15,65.179886,-51.67322835,-0.046,10068.3727,-11.5485568
270.08,65.179886,-44.29133858,-0.039,10018.01181,0.0
270.16,65.381594,-44.29133858,-0.039,10018.01181,0.0
271.09,65.381594,-36.74540682,-0.033,9961.450131,-13.1889768
271.17,65.426405,-36.74540682,-0.033,9961.450131,-13.1889768
272.1,65.426405,-51.34514436,-0.046,9948.884514,-11.5485568
272.18,65.68556,-51.34514436,-0.046,9948.884514,-11.5485568
273.11,65.68556,-40.4855643,-0.036,9876.213911,6.5944884
273.19,65.844329,-40.4855643,-0.036,9876.213911,6.5944884
274.12,65.844329,-58.82545932,-0.052,9831.692913,-3.3136484
274.4,66.221537,-58.82545932,-0.052,9831.692913,-3.3136484
276.14,66.221537,-23.75328084,-0.021,9725.918635,-11.5485568
276.22,66.26471,-23.75328084,-0.021,9725.918635,-11.5485568
277.15,66.26471,-55.01968504,-0.049,9713.812336,-1.64042
277.23,66.529715,-55.01968504,-0.049,9713.812336,-1.64042
278.16,66.529715,-57.90682415,-0.051,9639.501312,8.2349084
278.24,66.732944,-57.90682415,-0.051,9639.501312,8.2349084
279.17,66.732944,-47.04724409,-0.042,9582.513123,-1.64042
279.4,66.896861,-47.04724409,-0.042,9582.513123,-1.64042
280.18,66.896861,-45.96456693,-0.041,9536.548556,-16.5026252
280.26,67.044983,-45.96456693,-0.041,9536.548556,-16.5026252
281.19,67.044983,-46.39107612,-0.041,9495.013123,16.5026252
281.27,67.251137,-46.39107612,-0.041,9495.013123,16.5026252
282.2,67.251137,-45.96456693,-0.041,9437.204724,3.3136484
282.28,67.349651,-45.96456693,-0.041,9437.204724,3.3136484
